Date,CI Long Risk,CI Long Other,CI Long Total,CI Long Risk Change,CI Long Other Change,CI Long Total Change,CI Long Risk POI,CI Long Other POI,CI Long Total POI,CI Short Risk,CI Short Other,CI Short Total,CI Short Risk Change,CI Short Other Change,CI Short Total Change,CI Short Risk POI,CI Short Other POI,CI Short Total POI,IF Long Risk,IF Long Other,IF Long Total,IF Long Risk Change,IF Long Other Change,IF Long Total Change,IF Long Risk POI,IF Long Other POI,IF Long Total POI,IF Short Risk,IF Short Other,IF Short Total,IF Short Risk Change,IF Short Other Change,IF Short Total Change,IF Short Risk POI,IF Short Other POI,IF Short Total POI,OFI Long Risk,OFI Long Other,OFI Long Total,OFI Long Risk Change,OFI Long Other Change,OFI Long Total Change,OFI Long Risk POI,OFI Long Other POI,OFI Long Total POI,OFI Short Risk,OFI Short Other,OFI Short Total,OFI Short Risk Change,OFI Short Other Change,OFI Short Total Change,OFI Short Risk POI,OFI Short Other POI,OFI Short Total POI,CU Long Risk,CU Long Other,CU Long Total,CU Long Risk Change,CU Long Other Change,CU Long Total Change,CU Long Risk POI,CU Long Other POI,CU Long Total POI,CU Short Risk,CU Short Other,CU Short Total,CU Short Risk Change,CU Short Other Change,CU Short Total Change,CU Short Risk POI,CU Short Other POI,CU Short Total POI
2021-11-19,860,6711,7571,-7,-29,-36,0.0558,0.4351,0.4909,781,6260,7041,29,-29,0,0.0506,0.4059,0.4565,0,2442,2442,0,191,191,0,0.1583,0.1583,0,431,431,0,-54,-54,0,0.0279,0.0279,9,662,671,-10,21,11,0.0006,0.0429,0.0435,0,222,222,0,-12,-12,0,0.0144,0.0144,2272,2467,4739,-74,-118,-192,0.1473,0.16,0.3073,4616,3113,7729,68,-28,40,0.2993,0.2018,0.5011
2021-11-26,712,6842,7554,-148,131,-17,0.0455,0.4368,0.4823,669,6491,7160,-112,231,119,0.0427,0.4144,0.4571,0,2561,2561,0,119,119,0,0.1635,0.1635,0,462,462,0,31,31,0,0.0295,0.0295,9,764,773,0,102,102,0.0006,0.0488,0.0494,0,297,297,0,75,75,0,0.019,0.019,2315,2460,4775,43,-7,36,0.1478,0.1571,0.3049,4552,3192,7744,-64,79,15,0.2906,0.2038,0.4944
2021-12-03,641,6686,7327,-71,-156,-227,0.0411,0.4289,0.47,627,6453,7080,-42,-38,-80,0.0402,0.4139,0.4541,0,2613,2613,0,52,52,0,0.1676,0.1676,0,516,516,0,54,54,0,0.0331,0.0331,9,758,767,0,-6,-6,0.0006,0.0486,0.0492,20,287,307,20,-10,10,0.0013,0.0184,0.0197,2510,2373,4883,195,-87,108,0.161,0.1522,0.3132,4563,3124,7687,11,-68,-57,0.2927,0.2004,0.4931
2021-12-10,503,7135,7638,-138,449,311,0.0314,0.4459,0.4773,474,6837,7311,-153,384,231,0.0296,0.4272,0.4568,0,2842,2842,0,229,229,0,0.1776,0.1776,0,471,471,0,-45,-45,0,0.0294,0.0294,11,829,840,2,71,73,0.0007,0.0518,0.0525,23,440,463,3,153,156,0.0014,0.0275,0.0289,2430,2253,4683,-80,-120,-200,0.1518,0.1408,0.2926,4615,3143,7758,52,19,71,0.2884,0.1964,0.4848
2022-01-21,504,7980.53,8484.53,-88,272.25,184.25,0.0317,0.502,0.5337,574,7329,7903,-10,-40,-50,0.0361,0.461,0.4971,0,2744,2744,0,-63,-63,0,0.1726,0.1726,0,348,348,0,-28,-28,0,0.0219,0.0219,0,566,566,-2,-2,-4,0,0.0356,0.0356,25,254,279,-13,130,117,0.0016,0.016,0.0176,2369,1735,4104,-182,-327,-509,0.149,0.1091,0.2581,4867,2501,7368,33,-462,-429,0.3061,0.1573,0.4634
2022-01-28,554,7885.92,8439.92,50,-94.61,-44.61,0.0348,0.4954,0.5302,685,7180,7865,111,-149,-38,0.043,0.4512,0.4942,0,2676,2676,0,-68,-68,0,0.1681,0.1681,0,332,332,0,-16,-16,0,0.0209,0.0209,0,623,623,0,57,57,0,0.0391,0.0391,25,282,307,0,28,28,0.0016,0.0177,0.0193,2407,1771,4178,38,36,74,0.1512,0.1113,0.2625,4901,2507,7408,34,6,40,0.308,0.1576,0.4656
2022-02-04,612,7752.6,8364.6,58,-134.32,-76.32,0.0384,0.4866,0.525,578,7294,7872,-107,114,7,0.0363,0.4577,0.494,0,2666,2666,0,-10,-10,0,0.1674,0.1674,0,312,312,0,-20,-20,0,0.0196,0.0196,0,420,420,0,-203,-203,0,0.0264,0.0264,25,281,306,0,-1,-1,0.0016,0.0176,0.0192,2625,1855,4480,218,84,302,0.1648,0.1164,0.2812,4840,2605,7445,-65,98,33,0.3037,0.1635,0.4672
2022-02-11,713,8211.46,8924.46,101,458.86,559.86,0.0433,0.4991,0.5424,632,7772,8404,54,478,532,0.0384,0.4724,0.5108,0,2612,2612,0,-54,-54,0,0.1588,0.1588,0,277,277,0,-35,-35,0,0.0168,0.0168,0,434,434,0,14,14,0,0.0264,0.0264,25,277,302,0,-4,-4,0.0015,0.0168,0.0183,2702,1780,4482,77,-75,2,0.1642,0.1082,0.2724,4957,2511,7468,117,-94,23,0.3013,0.1526,0.4539
2022-02-18,762,7647.33,8409.33,49,-564.13,-515.13,0.0486,0.4879,0.5365,820,7127,7947,188,-645,-457,0.0523,0.4548,0.5071,0,2399,2399,0,-213,-213,0,0.1531,0.1531,0,261,261,0,-16,-16,0,0.0167,0.0167,0,465,465,0,31,31,0,0.0297,0.0297,23,186,209,-2,-91,-93,0.0015,0.0119,0.0134,2560,1840,4400,-142,60,-82,0.1633,0.1174,0.2807,4824,2431,7255,-133,-80,-213,0.3078,0.1551,0.4629
2022-02-25,764,7770.24,8534.24,2,122.91,124.91,0.0472,0.4804,0.5276,736,7215,7951,-84,88,4,0.0454,0.4447,0.4901,0,2463,2463,0,64,64,0,0.1523,0.1523,0,261,261,0,0,0,0,0.0161,0.0161,0,466,466,0,1,1,0,0.0288,0.0288,21,178,199,-2,-8,-10,0.0013,0.011,0.0123,2767,1943,4710,207,103,310,0.1711,0.1201,0.2912,5252,2560,7812,428,129,557,0.3237,0.1578,0.4815
2022-03-04,719,7649.82,8368.82,-45,-120.42,-165.42,0.0442,0.4698,0.514,665,7486,8151,-71,271,200,0.0408,0.4598,0.5006,0,2365,2365,0,-98,-98,0,0.1452,0.1452,0,124,124,0,-137,-137,0,0.0076,0.0076,0,534,534,0,68,68,0,0.0328,0.0328,21,196,217,0,18,18,0.0013,0.012,0.0133,3074,1941,5015,257,-2,255,0.1888,0.1192,0.308,5177,2613,7790,-75,53,-22,0.318,0.1605,0.4785
2022-03-11,587,7645.24,8232.24,-132,-4.58,-136.58,0.0357,0.4644,0.5001,526,7233,7759,-139,-253,-392,0.032,0.4394,0.4714,0,1995,1995,0,-370,-370,0,0.1212,0.1212,0,103,103,0,-21,-21,0,0.0063,0.0063,0,383,383,0,-151,-151,0,0.0233,0.0233,23,155,178,2,-41,-39,0.0014,0.0094,0.0108,3381,2470,5851,307,529,836,0.2054,0.15,0.3554,5303,3118,8421,126,505,631,0.3222,0.1894,0.5116
2022-03-18,315,7521.61,7836.61,-272,-123.63,-395.63,0.0204,0.488,0.5084,316,7021,7337,-210,-212,-422,0.0205,0.4555,0.476,0,1545,1545,0,-450,-450,0,0.1002,0.1002,0,109,109,0,6,6,0,0.0071,0.0071,10,364,374,10,-19,-9,0.0006,0.0236,0.0242,3,136,139,-20,-19,-39,0.0002,0.0088,0.009,3044,2614,5658,-337,144,-193,0.1975,0.1696,0.3671,4615,3213,7828,-688,95,-593,0.2994,0.2085,0.5079
2022-03-25,383,7926.5,8309.5,68,404.89,472.89,0.024,0.4971,0.5211,322,7335,7657,6,314,320,0.0202,0.46,0.4802,0,1255,1255,0,-290,-290,0,0.0787,0.0787,0,111,111,0,2,2,0,0.007,0.007,26,440,466,16,76,92,0.0016,0.0276,0.0292,11,183,194,8,47,55,0.0007,0.0115,0.0122,3448,2467,5915,404,-147,257,0.2162,0.1547,0.3709,4903,3080,7983,288,-133,155,0.3075,0.1932,0.5007
2022-04-01,339,7614.24,7953.24,-44,-312.26,-356.26,0.0215,0.4829,0.5044,243,7133,7376,-79,-202,-281,0.0154,0.4524,0.4678,0,1214,1214,0,-41,-41,0,0.077,0.077,0,108,108,0,-3,-3,0,0.0068,0.0068,25,488,513,-1,48,47,0.0016,0.031,0.0326,20,229,249,9,46,55,0.0013,0.0145,0.0158,3891,2195,6086,443,-272,171,0.2468,0.1392,0.386,4976,3058,8034,73,-22,51,0.3156,0.1939,0.5095
2022-04-08,449,7469.37,7918.37,110,-144.87,-34.87,0.0289,0.4813,0.5102,431,7104,7535,188,-29,159,0.0278,0.4578,0.4856,0,1248,1248,0,33,33,0,0.0804,0.0804,0,110,110,0,2,2,0,0.0071,0.0071,35,469,504,10,-19,-9,0.0023,0.0302,0.0325,28,238,266,8,9,17,0.0018,0.0153,0.0171,3898,1950,5848,7,-245,-238,0.2512,0.1257,0.3769,4790,2817,7607,-186,-241,-427,0.3087,0.1815,0.4902
2022-04-22,480,6942.58,7422.58,-40,-165.87,-205.87,0.0333,0.481,0.5143,461,6530,6991,90,-368,-278,0.0319,0.4525,0.4844,0,1240,1240,0,-1,-1,0,0.0859,0.0859,0,132,132,0,23,23,0,0.0091,0.0091,35,439,474,-10,-22,-32,0.0024,0.0304,0.0328,59,214,273,12,-32,-20,0.0041,0.0148,0.0189,3476,1820,5296,-311,-110,-421,0.2408,0.1261,0.3669,4651,2384,7035,-97,-289,-386,0.3223,0.1652,0.4875
